MovieID,MovieName,Genre
1,Movie 1,Comedy|Drama
2,Movie 2,Animation|Children's|Comedy
3,Movie 3,Comedy|Romance
4,Movie 4,Animation|Children's|Comedy
5,Movie 5,Comedy|Drama
6,Movie 6,Comedy
7,Movie 7,Comedy|Drama
8,Movie 8,Comedy|Drama
9,Movie 9,Comedy
10,Movie 10,Comedy
11,Movie 11,Adventure|Children's|Fantasy
12,Movie 12,Animation|Children's|Comedy
13,Movie 13,Animation|Children's|Comedy
14,Movie 14,Comedy
15,Movie 15,Comedy
16,Movie 16,Comedy|Drama
17,Movie 17,Comedy|Drama
18,Movie 18,Comedy|Drama
19,Movie 19,Comedy|Drama
20,Movie 20,Comedy
21,Movie 21,Animation|Children's|Comedy
22,Movie 22,Comedy|Romance
23,Movie 23,Comedy
24,Movie 24,Adventure|Children's|Fantasy
25,Movie 25,Comedy
26,Movie 26,Comedy|Drama
27,Movie 27,Comedy
28,Movie 28,Adventure|Children's|Fantasy
29,Movie 29,Animation|Children's|Comedy
30,Movie 30,Animation|Children's|Comedy
31,Movie 31,Adventure|Children's|Fantasy
32,Movie 32,Comedy
33,Movie 33,Adventure|Children's|Fantasy
34,Movie 34,Animation|Children's|Comedy
35,Movie 35,Comedy|Drama
36,Movie 36,Comedy|Drama
37,Movie 37,Comedy
38,Movie 38,Animation|Children's|Comedy
39,Movie 39,Animation|Children's|Comedy
40,Movie 40,Animation|Children's|Comedy
41,Movie 41,Comedy
42,Movie 42,Comedy|Drama
43,Movie 43,Comedy
44,Movie 44,Adventure|Children's|Fantasy
45,Movie 45,Adventure|Children's|Fantasy
46,Movie 46,Adventure|Children's|Fantasy
47,Movie 47,Comedy
48,Movie 48,Animation|Children's|Comedy
49,Movie 49,Comedy|Drama
50,Movie 50,Comedy
51,Movie 51,Comedy|Drama
52,Movie 52,Adventure|Children's|Fantasy
53,Movie 53,Comedy|Drama
54,Movie 54,Comedy|Drama
55,Movie 55,Comedy
56,Movie 56,Comedy
57,Movie 57,Comedy
58,Movie 58,Comedy
59,Movie 59,Comedy
60,Movie 60,Animation|Children's|Comedy
61,Movie 61,Comedy|Drama
62,Movie 62,Comedy|Romance
63,Movie 63,Comedy|Romance
64,Movie 64,Adventure|Children's|Fantasy
65,Movie 65,Comedy|Drama
66,Movie 66,Adventure|Children's|Fantasy
67,Movie 67,Comedy
68,Movie 68,Comedy|Drama
69,Movie 69,Comedy|Drama
70,Movie 70,Animation|Children's|Comedy
71,Movie 71,Animation|Children's|Comedy
72,Movie 72,Animation|Children's|Comedy
73,Movie 73,Adventure|Children's|Fantasy
74,Movie 74,Adventure|Children's|Fantasy
75,Movie 75,Comedy|Drama
76,Movie 76,Comedy|Romance
77,Movie 77,Animation|Children's|Comedy
78,Movie 78,Comedy
79,Movie 79,Adventure|Children's|Fantasy
80,Movie 80,Comedy|Romance
81,Movie 81,Adventure|Children's|Fantasy
82,Movie 82,Adventure|Children's|Fantasy
83,Movie 83,Comedy|Romance
84,Movie 84,Adventure|Children's|Fantasy
85,Movie 85,Adventure|Children's|Fantasy
86,Movie 86,Comedy
87,Movie 87,Adventure|Children's|Fantasy
88,Movie 88,Comedy
89,Movie 89,Comedy|Romance
90,Movie 90,Animation|Children's|Comedy
91,Movie 91,Animation|Children's|Comedy
92,Movie 92,Animation|Children's|Comedy
93,Movie 93,Comedy|Drama
94,Movie 94,Comedy|Drama
95,Movie 95,Comedy
96,Movie 96,Adventure|Children's|Fantasy
97,Movie 97,Comedy|Romance
98,Movie 98,Comedy|Romance
99,Movie 99,Adventure|Children's|Fantasy
100,Movie 100,Comedy|Romance
101,Movie 101,Comedy|Romance
102,Movie 102,Animation|Children's|Comedy
103,Movie 103,Comedy
104,Movie 104,Comedy
105,Movie 105,Comedy|Drama
106,Movie 106,Adventure|Children's|Fantasy
107,Movie 107,Comedy
108,Movie 108,Comedy|Drama
109,Movie 109,Comedy
110,Movie 110,Comedy|Romance
111,Movie 111,Animation|Children's|Comedy
112,Movie 112,Animation|Children's|Comedy
113,Movie 113,Comedy
114,Movie 114,Comedy|Drama
115,Movie 115,Animation|Children's|Comedy
116,Movie 116,Adventure|Children's|Fantasy
117,Movie 117,Comedy|Romance
118,Movie 118,Comedy
119,Movie 119,Comedy|Romance
120,Movie 120,Adventure|Children's|Fantasy
121,Movie 121,Comedy|Drama
122,Movie 122,Comedy
123,Movie 123,Animation|Children's|Comedy
124,Movie 124,Adventure|Children's|Fantasy
125,Movie 125,Comedy
126,Movie 126,Comedy|Drama
127,Movie 127,Adventure|Children's|Fantasy
128,Movie 128,Animation|Children's|Comedy
129,Movie 129,Comedy|Romance
130,Movie 130,Adventure|Children's|Fantasy
131,Movie 131,Comedy
132,Movie 132,Comedy|Romance
133,Movie 133,Animation|Children's|Comedy
134,Movie 134,Comedy|Romance
135,Movie 135,Adventure|Children's|Fantasy
136,Movie 136,Adventure|Children's|Fantasy
137,Movie 137,Comedy|Romance
138,Movie 138,Comedy|Romance
139,Movie 139,Comedy|Drama
140,Movie 140,Animation|Children's|Comedy
141,Movie 141,Comedy
142,Movie 142,Animation|Children's|Comedy
143,Movie 143,Comedy|Romance
144,Movie 144,Comedy
145,Movie 145,Animation|Children's|Comedy
146,Movie 146,Comedy|Drama
147,Movie 147,Comedy|Romance
148,Movie 148,Animation|Children's|Comedy
149,Movie 149,Adventure|Children's|Fantasy
150,Movie 150,Animation|Children's|Comedy
151,Movie 151,Comedy|Romance
152,Movie 152,Comedy|Romance
153,Movie 153,Adventure|Children's|Fantasy
154,Movie 154,Animation|Children's|Comedy
155,Movie 155,Comedy
156,Movie 156,Comedy|Romance
157,Movie 157,Adventure|Children's|Fantasy
158,Movie 158,Comedy|Drama
159,Movie 159,Adventure|Children's|Fantasy
160,Movie 160,Comedy|Drama
161,Movie 161,Animation|Children's|Comedy
162,Movie 162,Comedy
163,Movie 163,Comedy|Romance
164,Movie 164,Animation|Children's|Comedy
165,Movie 165,Comedy|Romance
166,Movie 166,Comedy|Romance
167,Movie 167,Adventure|Children's|Fantasy
168,Movie 168,Animation|Children's|Comedy
169,Movie 169,Animation|Children's|Comedy
170,Movie 170,Comedy|Drama
171,Movie 171,Adventure|Children's|Fantasy
172,Movie 172,Animation|Children's|Comedy
173,Movie 173,Comedy|Romance
174,Movie 174,Comedy
175,Movie 175,Adventure|Children's|Fantasy
176,Movie 176,Comedy|Drama
177,Movie 177,Comedy|Drama
178,Movie 178,Comedy
179,Movie 179,Adventure|Children's|Fantasy
180,Movie 180,Comedy|Romance
181,Movie 181,Comedy|Romance
182,Movie 182,Comedy|Romance
183,Movie 183,Adventure|Children's|Fantasy
184,Movie 184,Animation|Children's|Comedy
185,Movie 185,Comedy
186,Movie 186,Comedy|Romance
187,Movie 187,Comedy
188,Movie 188,Adventure|Children's|Fantasy
189,Movie 189,Adventure|Children's|Fantasy
190,Movie 190,Adventure|Children's|Fantasy
191,Movie 191,Adventure|Children's|Fantasy
192,Movie 192,Comedy
193,Movie 193,Animation|Children's|Comedy
194,Movie 194,Adventure|Children's|Fantasy
195,Movie 195,Comedy
196,Movie 196,Comedy|Drama
197,Movie 197,Adventure|Children's|Fantasy
198,Movie 198,Comedy|Drama
199,Movie 199,Comedy|Romance
200,Movie 200,Comedy|Romance
201,Movie 201,Comedy|Drama
202,Movie 202,Comedy|Romance
203,Movie 203,Comedy
204,Movie 204,Comedy|Drama
205,Movie 205,Animation|Children's|Comedy
206,Movie 206,Adventure|Children's|Fantasy
207,Movie 207,Adventure|Children's|Fantasy
208,Movie 208,Comedy|Romance
209,Movie 209,Comedy|Drama
210,Movie 210,Animation|Children's|Comedy
211,Movie 211,Comedy|Romance
212,Movie 212,Comedy|Drama
213,Movie 213,Adventure|Children's|Fantasy
214,Movie 214,Animation|Children's|Comedy
215,Movie 215,Comedy
216,Movie 216,Adventure|Children's|Fantasy
217,Movie 217,Animation|Children's|Comedy
218,Movie 218,Comedy|Drama
219,Movie 219,Animation|Children's|Comedy
220,Movie 220,Animation|Children's|Comedy
221,Movie 221,Animation|Children's|Comedy
222,Movie 222,Comedy|Drama
223,Movie 223,Comedy|Drama
224,Movie 224,Animation|Children's|Comedy
225,Movie 225,Animation|Children's|Comedy
226,Movie 226,Comedy|Romance
227,Movie 227,Animation|Children's|Comedy
228,Movie 228,Animation|Children's|Comedy
229,Movie 229,Comedy|Romance
230,Movie 230,Adventure|Children's|Fantasy
231,Movie 231,Comedy|Romance
232,Movie 232,Comedy|Drama
233,Movie 233,Comedy|Romance
234,Movie 234,Adventure|Children's|Fantasy
235,Movie 235,Adventure|Children's|Fantasy
236,Movie 236,Animation|Children's|Comedy
237,Movie 237,Comedy|Drama
238,Movie 238,Comedy
239,Movie 239,Comedy|Romance
240,Movie 240,Comedy|Romance
241,Movie 241,Animation|Children's|Comedy
242,Movie 242,Comedy
243,Movie 243,Adventure|Children's|Fantasy
244,Movie 244,Comedy|Drama
245,Movie 245,Adventure|Children's|Fantasy
246,Movie 246,Comedy|Romance
247,Movie 247,Comedy|Drama
248,Movie 248,Comedy|Drama
249,Movie 249,Adventure|Children's|Fantasy
250,Movie 250,Comedy
251,Movie 251,Comedy
252,Movie 252,Adventure|Children's|Fantasy
253,Movie 253,Adventure|Children's|Fantasy
254,Movie 254,Comedy
255,Movie 255,Animation|Children's|Comedy
256,Movie 256,Comedy|Romance
257,Movie 257,Comedy|Drama
258,Movie 258,Comedy|Drama
259,Movie 259,Comedy|Romance
260,Movie 260,Animation|Children's|Comedy
261,Movie 261,Animation|Children's|Comedy
262,Movie 262,Adventure|Children's|Fantasy
263,Movie 263,Comedy
264,Movie 264,Comedy|Drama
265,Movie 265,Comedy|Drama
266,Movie 266,Comedy
